Année,Grande région,Homme,Femme
2002,"Région lémanique (VD, VS, GE)",5751,4867
2002,"Espace Mittelland (BE, FR, SO, NE, JU)",5644,4373
2002,"Suisse du Nord-Ouest (BS, BL, AG)",6016,4769
2002,Zurich (ZH),6543,5154
2002,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",5494,4161
2002,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",5672,4356
2002,Tessin (TI),4985,3848
2004,"Région lémanique (VD, VS, GE)",5842,5067
2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5848,4659
2004,"Suisse du Nord-Ouest (BS, BL, AG)",6136,4931
2004,Zurich (ZH),6591,5108
2004,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",5589,4306
2004,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",5753,4562
2004,Tessin (TI),5117,4127
2006,"Région lémanique (VD, VS, GE)",5968,5200
2006,"Espace Mittelland (BE, FR, SO, NE, JU)",5958,4784
2006,"Suisse du Nord-Ouest (BS, BL, AG)",6294,5127
2006,Zurich (ZH),6763,5262
2006,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",5674,4461
2006,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",5932,4724
2006,Tessin (TI),5187,4221
2008,"Région lémanique (VD, VS, GE)",6279,5330
2008,"Espace Mittelland (BE, FR, SO, NE, JU)",6118,4980
2008,"Suisse du Nord-Ouest (BS, BL, AG)",6510,5320
2008,Zurich (ZH),6957,5244
2008,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",5819,4591
2008,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",6037,4853
2008,Tessin (TI),5311,4233
2010,"Région lémanique (VD, VS, GE)",6374,5579
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",6290,5167
2010,"Suisse du Nord-Ouest (BS, BL, AG)",6635,5471
2010,Zurich (ZH),7042,5383
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",5912,4750
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",6322,5114
2010,Tessin (TI),5475,4311
